year,soc,dpm,rpm,bio,hum,iom,crop_in,tree_in
0.00000,43.07738,0.18552,4.32645,0.65522,33.31836,4.59183,3.14448,0.00000
1.00000,42.90949,0.18552,4.31894,0.65389,33.15930,4.59183,3.14448,0.00000
2.00000,42.74620,0.18552,4.31338,0.65277,33.00270,4.59183,3.14448,0.00000
3.00000,42.58699,0.18552,4.30926,0.65180,32.84858,4.59183,3.14448,0.00000
4.00000,42.43145,0.18552,4.30620,0.65095,32.69695,4.59183,3.14448,0.00000
5.00000,42.27929,0.18552,4.30394,0.65019,32.54781,4.59183,3.14448,0.00000
6.00000,42.13027,0.18552,4.30226,0.64950,32.40115,4.59183,3.14448,0.00000
7.00000,41.98418,0.18552,4.30102,0.64887,32.25695,4.59183,3.14448,0.00000
8.00000,41.84089,0.18552,4.30009,0.64827,32.11517,4.59183,3.14448,0.00000
9.00000,41.70027,0.18552,4.29941,0.64771,31.97580,4.59183,3.14448,0.00000
10.00000,41.56223,0.18552,4.29891,0.64718,31.83879,4.59183,3.14448,0.00000
11.00000,41.42667,0.18552,4.29853,0.64667,31.70412,4.59183,3.14448,0.00000
12.00000,41.29353,0.18552,4.29825,0.64617,31.57175,4.59183,3.14448,0.00000
13.00000,41.16273,0.18552,4.29805,0.64569,31.44164,4.59183,3.14448,0.00000
14.00000,41.03423,0.18552,4.29789,0.64523,31.31376,4.59183,3.14448,0.00000
15.00000,40.90797,0.18552,4.29778,0.64477,31.18807,4.59183,3.14448,0.00000
16.00000,40.78391,0.18552,4.29770,0.64433,31.06454,4.59183,3.14448,0.00000
17.00000,40.66200,0.18552,4.29763,0.64389,30.94312,4.59183,3.14448,0.00000
18.00000,40.54219,0.18552,4.29759,0.64347,30.82379,4.59183,3.14448,0.00000
19.00000,40.42446,0.18552,4.29755,0.64305,30.70650,4.59183,3.14448,0.00000
20.00000,40.30875,0.18552,4.29753,0.64264,30.59123,4.59183,3.14448,0.00000
21.00000,40.19504,0.18552,4.29751,0.64224,30.47794,4.59183,3.14448,0.00000
22.00000,40.08329,0.18552,4.29750,0.64185,30.36659,4.59183,3.14448,0.00000
23.00000,39.97345,0.18552,4.29749,0.64146,30.25715,4.59183,3.14448,0.00000
24.00000,39.86551,0.18552,4.29748,0.64108,30.14960,4.59183,3.14448,0.00000
25.00000,39.75942,0.18552,4.29747,0.64071,30.04389,4.59183,3.14448,0.00000
26.00000,39.65516,0.18552,4.29747,0.64034,29.93999,4.59183,3.14448,0.00000
27.00000,39.55269,0.18552,4.29747,0.63998,29.83789,4.59183,3.14448,0.00000
28.00000,39.45198,0.18552,4.29746,0.63963,29.73753,4.59183,3.14448,0.00000
29.00000,39.35300,0.18552,4.29746,0.63928,29.63890,4.59183,3.14448,0.00000
30.00000,39.25572,0.18552,4.29746,0.63894,29.54196,4.59183,3.14448,0.00000
31.00000,39.16011,0.18552,4.29746,0.63861,29.44669,4.59183,3.14448,0.00000
32.00000,39.06614,0.18552,4.29746,0.63828,29.35306,4.59183,3.14448,0.00000
33.00000,38.97379,0.18552,4.29746,0.63795,29.26103,4.59183,3.14448,0.00000
34.00000,38.88303,0.18552,4.29746,0.63763,29.17058,4.59183,3.14448,0.00000
35.00000,38.79382,0.18552,4.29746,0.63732,29.08169,4.59183,3.14448,0.00000
36.00000,38.70615,0.18552,4.29746,0.63701,28.99432,4.59183,3.14448,0.00000
37.00000,38.61998,0.18552,4.29746,0.63671,28.90846,4.59183,3.14448,0.00000
38.00000,38.53529,0.18552,4.29746,0.63641,28.82407,4.59183,3.14448,0.00000
39.00000,38.45206,0.18552,4.29746,0.63612,28.74113,4.59183,3.14448,0.00000
40.00000,38.37026,0.18552,4.29746,0.63583,28.65961,4.59183,3.14448,0.00000
41.00000,38.28986,0.18552,4.29746,0.63555,28.57950,4.59183,3.14448,0.00000
42.00000,38.21084,0.18552,4.29746,0.63528,28.50076,4.59183,3.14448,0.00000
43.00000,38.13318,0.18552,4.29746,0.63500,28.42337,4.59183,3.14448,0.00000
44.00000,38.05685,0.18552,4.29746,0.63474,28.34731,4.59183,3.14448,0.00000
45.00000,37.98184,0.18552,4.29746,0.63447,28.27256,4.59183,3.14448,0.00000
46.00000,37.90811,0.18552,4.29746,0.63421,28.19909,4.59183,3.14448,0.00000
47.00000,37.83565,0.18552,4.29746,0.63396,28.12689,4.59183,3.14448,0.00000
48.00000,37.76444,0.18552,4.29746,0.63371,28.05592,4.59183,3.14448,0.00000
49.00000,37.69445,0.18552,4.29746,0.63346,27.98617,4.59183,3.14448,0.00000
50.00000,37.62566,0.18552,4.29746,0.63322,27.91763,4.59183,0.00000,0.00000
