year,soc,dpm,rpm,bio,hum,iom,crop_in,tree_in
0.00000,43.07738,0.18552,4.32645,0.65522,33.31836,4.59183,2.74916,0.00000
1.00000,42.69992,0.16220,4.17904,0.63560,33.13126,4.59183,2.74916,5.20720
2.00000,46.38518,0.26634,7.66567,0.74098,33.12037,4.59183,2.74916,1.21956
3.00000,46.15432,0.18660,7.49571,0.78110,33.09909,4.59183,2.74916,1.09432
4.00000,45.91250,0.18409,7.28328,0.79226,33.06105,4.59183,2.74916,1.09753
5.00000,45.71565,0.18415,7.12807,0.79415,33.01745,4.59183,1.07300,1.13777
6.00000,44.69336,0.08607,6.44763,0.71547,32.85237,4.59183,1.07300,1.18698
7.00000,43.96380,0.08705,5.97739,0.65370,32.65385,4.59183,1.07300,1.49465
8.00000,43.59488,0.09320,5.84138,0.61724,32.45123,4.59183,1.07300,1.24747
9.00000,43.07660,0.08826,5.56990,0.58875,32.23787,4.59183,1.07300,1.30504
10.00000,42.67754,0.08941,5.40848,0.56841,32.01941,4.59183,1.07300,1.65837
11.00000,42.59405,0.09647,5.53285,0.56194,31.81095,4.59183,1.07300,1.37445
12.00000,42.26650,0.09080,5.42895,0.55431,31.60061,4.59183,1.07300,1.43825
13.00000,42.02055,0.09207,5.39602,0.54889,31.39174,4.59183,1.07300,1.50472
14.00000,41.83692,0.09340,5.41752,0.54655,31.18763,4.59183,1.07300,1.57376
15.00000,41.70495,0.09478,5.48112,0.54704,30.99017,4.59183,1.07300,2.29841
16.00000,42.11854,0.10927,6.02867,0.56515,30.82361,4.59183,1.07300,1.60381
17.00000,41.86811,0.09538,5.95476,0.57037,30.65577,4.59183,1.07300,1.67441
18.00000,41.69932,0.09680,5.94875,0.57236,30.48958,4.59183,1.07300,1.74675
19.00000,41.58809,0.09824,5.99424,0.57486,30.32891,4.59183,1.07300,1.82052
20.00000,41.52449,0.09972,6.07890,0.57868,30.17536,4.59183,1.07300,1.89546
21.00000,41.50063,0.10122,6.19339,0.58405,30.03015,4.59183,1.07300,1.97122
22.00000,41.51019,0.10273,6.33054,0.59088,29.89421,4.59183,1.07300,2.04745
23.00000,41.54808,0.10426,6.48482,0.59899,29.76818,4.59183,1.07300,2.12376
24.00000,41.61013,0.10578,6.65184,0.60816,29.65252,4.59183,1.07300,2.19971
25.00000,41.69284,0.10730,6.82806,0.61817,29.54748,4.59183,1.07300,2.27483
26.00000,41.79318,0.10880,7.01052,0.62883,29.45320,4.59183,1.07300,2.34866
27.00000,41.90845,0.11028,7.19671,0.63994,29.36968,4.59183,1.07300,2.42066
28.00000,42.03612,0.11172,7.38441,0.65136,29.29680,4.59183,1.07300,2.49031
29.00000,42.17384,0.11311,7.57160,0.66294,29.23436,4.59183,1.07300,2.55708
30.00000,42.31930,0.11445,7.75643,0.67453,29.18206,4.59183,1.07300,2.62043
31.00000,42.47024,0.11572,7.93714,0.68603,29.13954,4.59183,1.07300,2.67983
32.00000,42.62443,0.11690,8.11207,0.69730,29.10633,4.59183,1.07300,2.73478
33.00000,42.77964,0.11800,8.27964,0.70825,29.08191,4.59183,1.07300,2.78478
34.00000,42.93367,0.11900,8.43835,0.71877,29.06571,4.59183,1.07300,2.82940
35.00000,43.08433,0.11990,8.58678,0.72876,29.05707,4.59183,1.07300,10.81391
36.00000,49.33676,0.27958,14.21054,0.92244,29.33238,4.59183,1.07300,1.78236
37.00000,47.26742,0.09896,12.14116,0.93990,29.49556,4.59183,1.07300,1.79466
38.00000,45.77625,0.09920,10.61615,0.89886,29.57021,4.59183,1.07300,1.80394
39.00000,44.62398,0.09939,9.49248,0.84670,29.59358,4.59183,1.07300,1.80916
40.00000,43.72917,0.09949,8.66339,0.79607,29.57840,4.59183,1.07300,1.81027
41.00000,43.02749,0.09951,8.04976,0.75187,29.53452,4.59183,1.07300,1.80731
42.00000,42.46902,0.09945,7.59300,0.71531,29.46943,4.59183,1.07300,1.80038
43.00000,42.01551,0.09931,7.24974,0.68590,29.38872,4.59183,1.07300,1.78962
44.00000,41.63794,0.09910,6.98794,0.66255,29.29652,4.59183,1.07300,1.77520
45.00000,41.31444,0.09881,6.78397,0.64403,29.19580,4.59183,1.07300,1.75733
46.00000,41.02866,0.09845,6.62048,0.62922,29.08868,4.59183,1.07300,1.73624
47.00000,40.76843,0.09803,6.48477,0.61717,28.97663,4.59183,1.07300,1.71220
48.00000,40.52475,0.09755,6.36760,0.60709,28.86068,4.59183,1.07300,1.68548
49.00000,40.29105,0.09702,6.26232,0.59841,28.74147,4.59183,1.07300,1.65637
50.00000,40.06257,0.09643,6.16420,0.59066,28.61944,4.59183,0.00000,0.00000
