carbon_above,nitrogen_above,DMon_above,DMoff_above,carbon_below,nitrogen_below,DMon_below,DMoff_below
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.29625,0.13833,0.59250,0.00000,0.15446,0.00629,0.30893,0.00000
0.05755,0.01000,0.11511,0.00000,0.04934,0.00189,0.09867,0.00000
0.06436,0.01320,0.12872,0.00000,0.03165,0.00114,0.06329,0.00000
0.06644,0.01379,0.13289,0.00000,0.02975,0.00104,0.05950,0.00000
0.06881,0.01448,0.13762,0.00000,0.03076,0.00107,0.06153,0.00000
0.07135,0.01520,0.14271,0.00000,0.03236,0.00113,0.06472,0.00000
0.07521,0.01655,0.15042,0.00000,0.06362,0.00194,0.12723,0.00000
0.07404,0.01609,0.14807,0.00000,0.03462,0.00120,0.06925,0.00000
0.07702,0.01687,0.15403,0.00000,0.03650,0.00127,0.07299,0.00000
0.08142,0.01836,0.16285,0.00000,0.07227,0.00220,0.14453,0.00000
0.08030,0.01783,0.16060,0.00000,0.03894,0.00135,0.07788,0.00000
0.08367,0.01867,0.16734,0.00000,0.04096,0.00142,0.08193,0.00000
0.08720,0.01954,0.17441,0.00000,0.04307,0.00149,0.08613,0.00000
0.09090,0.02043,0.18179,0.00000,0.04524,0.00156,0.09049,0.00000
0.09738,0.02277,0.19477,0.00000,0.12256,0.00355,0.24512,0.00000
0.09210,0.02079,0.18420,0.00000,0.04648,0.00160,0.09297,0.00000
0.09595,0.02168,0.19189,0.00000,0.04871,0.00167,0.09741,0.00000
0.09991,0.02258,0.19983,0.00000,0.05099,0.00175,0.10197,0.00000
0.10399,0.02350,0.20798,0.00000,0.05332,0.00183,0.10664,0.00000
0.10816,0.02441,0.21632,0.00000,0.05570,0.00191,0.11140,0.00000
0.11241,0.02533,0.22482,0.00000,0.05812,0.00199,0.11624,0.00000
0.11673,0.02625,0.23345,0.00000,0.06058,0.00207,0.12115,0.00000
0.12109,0.02716,0.24218,0.00000,0.06306,0.00215,0.12611,0.00000
0.12548,0.02805,0.25096,0.00000,0.06555,0.00223,0.13111,0.00000
0.12988,0.02892,0.25975,0.00000,0.06806,0.00231,0.13611,0.00000
0.13425,0.02976,0.26851,0.00000,0.07056,0.00239,0.14111,0.00000
0.13859,0.03057,0.27718,0.00000,0.07304,0.00247,0.14607,0.00000
0.14285,0.03133,0.28571,0.00000,0.07549,0.00255,0.15098,0.00000
0.14702,0.03205,0.29404,0.00000,0.07790,0.00262,0.15579,0.00000
0.15106,0.03271,0.30211,0.00000,0.08025,0.00270,0.16050,0.00000
0.15494,0.03331,0.30988,0.00000,0.08253,0.00277,0.16506,0.00000
0.15863,0.03383,0.31727,0.00000,0.08473,0.00283,0.16946,0.00000
0.16211,0.03428,0.32422,0.00000,0.08683,0.00289,0.17366,0.00000
0.16535,0.03464,0.33069,0.00000,0.08882,0.00295,0.17763,0.00000
0.19228,0.04777,0.38456,0.00000,1.02544,0.02672,2.05089,0.00000
0.10533,0.02149,0.21066,0.00000,0.05704,0.00188,0.11408,0.00000
0.10656,0.02147,0.21312,0.00000,0.05791,0.00190,0.11583,0.00000
0.10763,0.02143,0.21527,0.00000,0.05871,0.00192,0.11743,0.00000
0.10848,0.02132,0.21696,0.00000,0.05941,0.00193,0.11883,0.00000
0.10909,0.02116,0.21818,0.00000,0.06001,0.00195,0.12002,0.00000
0.10946,0.02093,0.21892,0.00000,0.06050,0.00195,0.12099,0.00000
0.10959,0.02065,0.21918,0.00000,0.06088,0.00196,0.12175,0.00000
0.10948,0.02032,0.21896,0.00000,0.06115,0.00196,0.12230,0.00000
0.10913,0.01993,0.21826,0.00000,0.06131,0.00195,0.12263,0.00000
0.10854,0.01950,0.21709,0.00000,0.06137,0.00194,0.12275,0.00000
0.10773,0.01903,0.21546,0.00000,0.06134,0.00193,0.12267,0.00000
0.10670,0.01852,0.21340,0.00000,0.06120,0.00192,0.12241,0.00000
0.10547,0.01798,0.21093,0.00000,0.06098,0.00190,0.12196,0.00000
0.10404,0.01741,0.20808,0.00000,0.06067,0.00188,0.12135,0.00000
